id,family,base_rate,base_rate_pct,base_rate_se,template,description
count_odd_ranks_eq_2,COUNT,0.2812,28.12,0.002011,λh. count(odd_ranks) eq 2,Number of odd_ranks is eq 2
Halves_both_has_face,HALVES_PROPERTY,0.29246,29.25,0.002034,λh. has_face(L(h)) ∧ has_face(R(h)),Both halves satisfy has_face
count_face_cards_eq_2,COUNT,0.29378,29.38,0.002037,λh. count(face_cards) eq 2,Number of face_cards is eq 2
count_spades_eq_2,COUNT,0.3139,31.39,0.002075,λh. count(suit=spades) eq 2,Number of spades is eq 2
count_hearts_eq_2,COUNT,0.31552,31.55,0.002078,λh. count(suit=hearts) eq 2,Number of hearts is eq 2
count_diamonds_eq_2,COUNT,0.31632,31.63,0.00208,λh. count(suit=diamonds) eq 2,Number of diamonds is eq 2
count_clubs_eq_2,COUNT,0.3183,31.83,0.002083,λh. count(suit=clubs) eq 2,Number of clubs is eq 2
Ends_same_mod3,ENDS,0.32454,32.45,0.002094,λh. mod3(first(h)) = mod3(last(h)),First and last cards have the same mod3
count_even_ranks_eq_3,COUNT,0.32738,32.74,0.002099,λh. count(even_ranks) eq 3,Number of even_ranks is eq 3
count_odd_ranks_eq_3,COUNT,0.32874,32.87,0.002101,λh. count(odd_ranks) eq 3,Number of odd_ranks is eq 3
Halves_both_has_spade,HALVES_PROPERTY,0.33274,33.27,0.002107,λh. has_spade(L(h)) ∧ has_spade(R(h)),Both halves satisfy has_spade
skip2_diff_suit,ADJACENT,0.33396,33.4,0.002109,"λh. ∀i. diff_suit(h[i], h[i+2])",Every pair at offset 2 satisfies diff_suit
Halves_both_has_heart,HALVES_PROPERTY,0.33468,33.47,0.00211,λh. has_heart(L(h)) ∧ has_heart(R(h)),Both halves satisfy has_heart
count_aces_eq_1,COUNT,0.33698,33.7,0.002114,λh. count(aces) eq 1,Number of aces is eq 1
count_high_cards_eq_2,COUNT,0.33956,33.96,0.002118,λh. count(high_cards) eq 2,Number of high_cards is eq 2
rank_pairs_eq_0,COUNT,0.3464,34.64,0.002128,λh. rank_pairs(h) eq 0,Number of rank pairs is eq 0
count_clubs_eq_1,COUNT,0.366,36.6,0.002154,λh. count(suit=clubs) eq 1,Number of clubs is eq 1
count_diamonds_eq_1,COUNT,0.36746,36.75,0.002156,λh. count(suit=diamonds) eq 1,Number of diamonds is eq 1
count_hearts_eq_1,COUNT,0.36844,36.84,0.002157,λh. count(suit=hearts) eq 1,Number of hearts is eq 1
count_spades_eq_1,COUNT,0.3697,36.97,0.002159,λh. count(suit=spades) eq 1,Number of spades is eq 1
count_face_cards_eq_1,COUNT,0.38786,38.79,0.002179,λh. count(face_cards) eq 1,Number of face_cards is eq 1
count_aces_ge_1,COUNT,0.3961,39.61,0.002187,λh. count(aces) ge 1,Number of aces is ge 1
count_high_cards_ge_3,COUNT,0.41848,41.85,0.002206,λh. count(high_cards) ge 3,Number of high_cards is ge 3
unique_suits_ge_4,COUNT,0.42526,42.53,0.002211,λh. unique_suits(h) ge 4,Number of unique_suits is ge 4
count_face_cards_ge_2,COUNT,0.4256,42.56,0.002211,λh. count(face_cards) ge 2,Number of face_cards is ge 2
unique_suits_eq_4,COUNT,0.42594,42.59,0.002211,λh. unique_suits(h) eq 4,Number of unique_suits is eq 4
sum_ranks_ge_50,GLOBAL,0.43738,43.74,0.002218,λh. sum_ranks(h) ≥ 50,Sum of rank values is at least 50
count_spades_ge_2,COUNT,0.46956,46.96,0.002232,λh. count(suit=spades) ge 2,Number of spades is ge 2
count_diamonds_ge_2,COUNT,0.4709,47.09,0.002232,λh. count(suit=diamonds) ge 2,Number of diamonds is ge 2
count_hearts_ge_2,COUNT,0.47338,47.34,0.002233,λh. count(suit=hearts) ge 2,Number of hearts is ge 2
count_clubs_ge_2,COUNT,0.474,47.4,0.002233,λh. count(suit=clubs) ge 2,Number of clubs is ge 2
Halves_bicon_has_face,HALVES_PROPERTY,0.48464,48.46,0.002235,λh. has_face(L(h)) ↔ has_face(R(h)),"Both halves satisfy has_face, or neither does"
Halves_bicon_has_diamond,HALVES_PROPERTY,0.48978,48.98,0.002236,λh. has_diamond(L(h)) ↔ has_diamond(R(h)),"Both halves satisfy has_diamond, or neither does"
Ends_same_color,ENDS,0.49146,49.15,0.002236,λh. color(first(h)) = color(last(h)),First and last cards have the same color
Halves_bicon_has_club,HALVES_PROPERTY,0.49374,49.37,0.002236,λh. has_club(L(h)) ↔ has_club(R(h)),"Both halves satisfy has_club, or neither does"
Ends_same_parity,ENDS,0.49404,49.4,0.002236,λh. parity(first(h)) = parity(last(h)),First and last cards have the same parity
Halves_bicon_has_heart,HALVES_PROPERTY,0.4951,49.51,0.002236,λh. has_heart(L(h)) ↔ has_heart(R(h)),"Both halves satisfy has_heart, or neither does"
Halves_bicon_has_spade,HALVES_PROPERTY,0.49594,49.59,0.002236,λh. has_spade(L(h)) ↔ has_spade(R(h)),"Both halves satisfy has_spade, or neither does"
